"","County.FIPS","Number.of.Long.Trips","Recip_County","Recip_State.x","Series_Complete_Pop_Pct","Series_Complete_Yes","County.POP","County_Median_Income","Income_CountyMedian_vs_StateMedian","Recip_State_Median_Income","isRepublican"
"78","53053",54260,"Pierce County","WA",27,244346,904985,78779,1,78674,"0"
"79","06061",28093,"Placer County","CA",33.4,132874,397826,97688,1.22,80423,"1"
"80","41053",10508,"Polk County","OR",30,25815,86050,69757,1.04,66955,"1"
"81","06065",292534,"Riverside County","CA",25.4,628284,2473559,72905,0.91,80423,"0"
"82","06067",129508,"Sacramento County","CA",29.2,452479,1549586,71891,0.89,80423,"0"
"83","06069",11016,"San Benito County","CA",26.1,16409,62870,84209,1.05,80423,"0"
"84","06071",275380,"San Bernardino County","CA",23.2,505922,2180698,67398,0.84,80423,"0"
"85","06073",187079,"San Diego County","CA",22.6,755765,3344093,83576,1.04,80423,"0"
"86","06075",44327,"San Francisco County","CA",42.4,373727,881432,121795,1.51,80423,"0"
"87","06077",106317,"San Joaquin County","CA",23.3,177249,760725,68458,0.85,80423,"0"
"88","53055",1177,"San Juan County","WA",45.8,8056,17590,69113,0.88,78674,"0"
"89","06079",21062,"San Luis Obispo County","CA",30.3,85737,282960,76599,0.95,80423,"0"
"90","06081",38282,"San Mateo County","CA",40.4,309630,766411,135234,1.68,80423,"0"
"91","06083",32672,"Santa Barbara County","CA",33.3,148575,446171,74530,0.93,80423,"0"
"92","06085",101861,"Santa Clara County","CA",35.1,677187,1929308,132444,1.65,80423,"0"
"93","06087",18102,"Santa Cruz County","CA",36.9,100837,273271,85770,1.07,80423,"0"
"94","06089",16491,"Shasta County","CA",23.7,42619,179827,61464,0.76,80423,"1"
"95","41055",461,"Sherman County","OR",31.6,563,1782,60035,0.9,66955,"1"
"96","06093",6276,"Siskiyou County","CA",29.2,12710,43527,45954,0.57,80423,"1"
"97","53057",14960,"Skagit County","WA",34.9,45108,129249,67551,0.86,78674,"0"
"98","53059",2405,"Skamania County","WA",21.2,2563,12090,69163,0.88,78674,"1"
"99","53061",50380,"Snohomish County","WA",30.2,248328,822278,89119,1.13,78674,"0"
"100","06095",36372,"Solano County","CA",30.4,135993,447345,85704,1.07,80423,"0"
"101","06097",36306,"Sonoma County","CA",40.3,199395,494777,87084,1.08,80423,"0"
"102","53063",39754,"Spokane County","WA",29.1,152282,523306,59976,0.76,78674,"1"
"103","06099",64928,"Stanislaus County","CA",22.9,126233,551236,62761,0.78,80423,"0"
"104","53065",8714,"Stevens County","WA",18.9,8646,45746,55000,0.7,78674,"1"
"105","06101",13967,"Sutter County","CA",27,26216,97096,60910,0.76,80423,"1"
"106","06103",8132,"Tehama County","CA",20.1,13107,65209,51672,0.64,80423,"1"
"107","53067",26966,"Thurston County","WA",31.3,90974,290652,77890,0.99,78674,"0"
"108","41057",3965,"Tillamook County","OR",30.4,8223,27049,52298,0.78,66955,"1"
"109","06107",52762,"Tulare County","CA",24.7,115177,466304,56776,0.71,80423,"1"
"110","06109",5124,"Tuolumne County","CA",32.6,17734,54399,64729,0.81,80423,"1"
"111","41059",10204,"Umatilla County","OR",25,19518,78072,58286,0.87,66955,"1"
"112","41061",3327,"Union County","OR",24.3,6522,26840,54264,0.81,66955,"1"
"113","06111",64330,"Ventura County","CA",34.4,291165,846410,91446,1.14,80423,"0"
"114","53069",668,"Wahkiakum County","WA",32.3,1449,4486,61123,0.78,78674,"1"
"115","53071",4665,"Walla Walla County","WA",36.2,21989,60743,60202,0.77,78674,"1"
"116","41063",1379,"Wallowa County","OR",33.9,2444,7209,52106,0.78,66955,"1"
"117","41065",3311,"Wasco County","OR",31.4,8387,26710,56993,0.85,66955,"1"
"118","41067",35086,"Washington County","OR",28.1,169306,602512,85665,1.28,66955,"0"
"119","53073",18071,"Whatcom County","WA",35.6,81527,229008,68656,0.87,78674,"0"
"120","41069",289,"Wheeler County","OR",40.5,540,1333,42747,0.64,66955,"1"
"121","53075",3474,"Whitman County","WA",23.5,11794,50187,45906,0.58,78674,"0"
"122","53077",28336,"Yakima County","WA",29.4,73865,251241,55674,0.71,78674,"1"
"123","41071",8843,"Yamhill County","OR",28,30027,107239,71815,1.07,66955,"1"
"124","06113",19948,"Yolo County","CA",33.7,74337,220585,70951,0.88,80423,"0"
"125","06115",7902,"Yuba County","CA",19.7,15505,78706,56607,0.7,80423,"1"
